query_id;plan_id;stage_id;pipeline_id;dop;query_dop;operator_type;execution_time;l_input_rows;r_input_rows;peak_mem;output_rows;child_plan
6;27;2;2;16;16;LocalExchangeSinkOperator;52.244;11474023;0;0;11474023;8
6;28;3;0;16;16;TableScanOperator;3890.040;15000000;0;68096256;15000000;
6;29;3;0;16;16;PartitionedOutput;7801.270;15000000;0;26780928;15000000;28
6;30;4;2;16;16;FilterProject;14.410;22945256;0;0;22945256;38
6;31;4;1;16;16;LocalExchangeSinkOperator;19.526;22945256;0;0;22945256;32
6;32;4;2;16;16;LocalExchangeSourceOperator;811.800;22945256;0;6307840;22945256;30
6;33;4;1;16;16;HashBuilderOperator;7250.000;22945256;0;121512064;0;31
6;34;4;0;16;16;TableScanOperator;11900.035;148067261;0;32968704;148067261;
6;35;4;0;16;16;FilterProject;1482.910;148067261;0;13056;148067261;34
6;36;4;0;16;16;LookupJoinOperator;5642.780;148067261;0;139264;11474023;33,35
6;37;4;0;16;16;PartitionedOutput;1809.150;11474023;0;1579008;11474023;36
6;38;4;2;16;16;ExchangeOperator;483.057;22945256;0;27918336;22945256;41
6;39;5;0;16;16;TableScanOperator;3070.038;5736314;0;30336000;5736314;
6;40;5;0;16;16;FilterProject;246.010;5736314;0;4160;5736314;39
6;41;5;0;16;16;PartitionedOutput;338.990;5736314;0;715456;5736314;40
6;42;6;0;4;16;TableScanOperator;0.743;25;0;26816;25;
6;43;6;0;4;16;PartitionedOutput;0.530;25;0;17344;25;42
7;0;0;0;1;32;MergeOperator;3270.000;3885517;0;53035430;3885517;16
7;1;0;0;1;32;ExplainAnalyzeOperator;4.992;3885517;0;0;1;0
7;2;0;0;1;32;TaskOutputOperator;0.083;1;0;0;1;1
7;3;1;1;32;32;ExchangeOperator;971.508;3885517;0;13090816;3885517;16
7;4;1;1;32;32;OrderBy;9968.310;3885517;0;66891392;3885517;3
7;5;1;0;4;32;LocalMerge;1140.013;0;0;454656;3885517;6
